Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,	3537197	0.000269247358174	0.000479621781379	0.000716121398362	0.000269478907513
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	195651	0.000129697306282	0.00019085473735	0.000175098615323	0.00017406971678
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4102199	0.000341101892432	0.00064300543224	0.00100062015014	0.0003252730882
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4483337	0.000380549680252	0.000540886004196	0.00115247096084	0.000357392326614
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	2771891	0.000686829355844	0.000601193440443	0.0020938033174	0.000237082015401
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	197367	0.0373336068272	0.0430176428262	0.0389183748617	0.0411354594892
Bacteria,Firmicutes,Clostridia,Clostridiales,	183296	0.000271948583463	0.00111883182771	0.000781122793741	0.000485905397692
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,	316496	0.00102276020303	0.00280710088216	0.00279592871184	0.000891364593811
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis	1733364	0.0139051976636	0.0277986874388	0.0201989158535	0.0218715557018
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,	1504042	0.000661690198129	0.000981223027342	0.0012607717779	0.000657284322544
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,	3138798	0.00196208233838	0.00361073035108	0.00483216368135	0.00234758683291
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	205904	0.000204748932809	0.000214190649961	0.000203548675876	0.00023448986444
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,	180509	0.00194007100766	0.0047375754283	0.0052324970817	0.0020401385807
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	194112	0.00136383944956	0.0020809443503	0.00233281341565	0.00145522161177
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,	176690	0.000136272909206	0.000254748016872	0.000211103729739	0.00020743057421
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,	4405104	0.000450468695108	0.00120062697117	0.000956296808053	0.000646047789539
Bacteria,Firmicutes,Clostridia,Clostridiales,	4301511	0.000372867420896	0.00068209652916	0.000672218155247	0.00052147414583
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	194686	0.000464696326671	0.00131898626193	0.00105189690215	0.000669013195237
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	174818	0.00029972630506	0.000620279164879	0.000476643539224	0.00046796498269
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	157748	0.000570049468079	0.000930211707095	0.000824523290023	0.000783963732855
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,	4425669	0.000828655776217	0.00238261894402	0.00292466167699	0.00114962531951
Bacteria,Firmicutes,Clostridia,Clostridiales,	4425663	0.000520807982346	0.00124611573331	0.00181089204799	0.000535754878545
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	352347	0.00988543965277	0.017401711062	0.0148840115611	0.0136701426046
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	179358	0.000273850970748	0.000434967049302	0.000389787184104	0.000377542393165
Bacteria,Firmicutes,Clostridia,Clostridiales,	229919	0.000495799022827	0.0017917028991	0.00188942671413	0.000787118919731
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,	180468	0.000237454193848	0.000238980493184	0.000355495396902	0.000175796667885
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	358008	0.000146846418851	0.000310329990676	0.000209013402568	0.000227682982727
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	173863	0.000319283384878	0.000429887360108	0.000408321656807	0.000390452930078
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,	313593	0.000140038487926	0.000386501358764	0.000289888770206	0.000239196807578
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae	191718	0.0018909287467	0.00480528098246	0.00473738364149	0.00200036995698
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	187504	0.000130019721667	0.000320772129598	0.000251603679617	0.000207343100554
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis	4433823	0.00346833801356	0.00547124031757	0.0137014737985	0.0019769308524
